방영일,시청률,장르별순위
2024.9.5,2.53%,종합 4위
2024.9.4,2.97%,종합 2위
2024.9.3,2.51%,종합 7위
2024.9.2,3.68%,종합 2위
2024.8.30,2.63%,종합 4위
2024.8.29,2.95%,종합 4위
2024.8.28,2.99%,종합 3위
2024.8.27,2.99%,종합 5위
2024.8.26,3.01%,종합 6위
2024.8.23,3.08%,종합 2위
2024.8.22,3.19%,종합 3위
2024.8.21,2.88%,종합 4위
2024.8.20,2.87%,종합 6위
2024.8.19,3.17%,종합 4위
2024.8.16,3.13%,종합 2위
2024.8.14,3.03%,종합 2위
2024.8.13,2.90%,종합 5위
2024.8.12,3.39%,종합 3위
2024.8.9,3.61%,종합 1위
2024.8.8,3.63%,종합 1위
2024.8.7,4.38%,종합 1위
2024.8.6,3.96%,종합 1위
2024.8.5,4.26%,종합 1위
2024.8.2,3.50%,종합 1위
2024.8.1,3.09%,종합 3위
2024.7.31,3.85%,종합 2위
2024.7.30,3.23%,종합 4위
2024.7.29,4.16%,종합 1위
2024.7.26,2.94%,종합 5위
2024.7.25,3.20%,종합 3위
2024.7.24,2.60%,종합 9위
2024.7.23,2.97%,종합 7위
2024.7.22,3.36%,종합 5위
2024.7.19,2.92%,종합 3위
2024.7.18,3.14%,종합 3위
2024.7.17,3.02%,종합 3위
2024.7.16,3.47%,종합 5위
2024.7.15,3.12%,종합 4위
2024.7.12,2.71%,종합 5위
2024.7.11,3.04%,종합 4위
2024.7.10,2.44%,종합 9위
2024.7.9,3.44%,종합 6위
2024.7.8,3.62%,종합 2위
2024.7.5,2.66%,종합 4위
2024.7.4,2.67%,종합 5위
2024.7.3,2.52%,종합 4위
2024.7.2,3.62%,종합 3위
2024.7.1,3.01%,종합 4위
2024.6.28,2.76%,종합 4위
2024.6.27,2.58%,종합 6위
