방영일,회차,시청률,장르별순위
2024.9.5,219회,0.52%,종합 39위
2024.8.29,218회,0.65%,종합 32위
2024.8.22,217회,0.67%,종합 34위
2024.8.15,216회,0.76%,종합 36위
2024.8.8,215회,1.26%,종합 27위
2024.8.1,214회,0.92%,종합 30위
2024.7.25,213회,0.67%,종합 37위
2024.7.18,212회,0.51%,종합 41위
2024.7.11,211회,0.57%,종합 38위
2024.7.4,210회,0.61%,종합 38위
2024.6.27,209회,0.47%,종합 43위
2024.6.20,208회,0.56%,종합 42위
2024.6.13,207회,0.68%,종합 36위
2024.6.6,206회,1.12%,종합 21위
2024.5.30,205회,0.55%,종합 40위
2024.5.23,204회,0.57%,종합 37위
2024.5.16,203회,0.69%,종합 36위
2024.5.9,202회,0.51%,종합 38위
2024.5.2,201회,0.51%,종합 36위
2024.4.25,200회,0.77%,종합 30위
2024.4.18,199회,0.91%,종합 29위
2024.4.11,198회,0.65%,종합 44위
2024.4.4,197회,1.09%,종합 28위
2024.3.28,196회,0.92%,종합 32위
2024.3.21,195회,0.77%,종합 33위
2024.3.14,194회,0.92%,종합 30위
2024.3.7,193회,0.93%,종합 33위
2024.2.29,192회,0.58%,종합 41위
2024.2.22,191회,1.11%,종합 30위
2024.2.15,190회,0.85%,종합 34위
2024.2.8,189회,0.78%,종합 38위
2024.2.1,188회,1.08%,종합 30위
2024.1.25,187회,0.79%,종합 32위
2024.1.18,186회,1.02%,종합 31위
2024.1.11,185회,1.06%,종합 29위
2024.1.4,184회,0.92%,종합 33위
2023.12.28,183회,1.21%,종합 26위
2023.12.21,182회,1.07%,종합 28위
2023.12.14,181회,0.86%,종합 31위
2023.12.7,180회,0.70%,종합 33위
2023.11.30,179회,0.84%,종합 32위
2023.11.23,178회,0.81%,종합 30위
2023.11.16,177회,0.87%,종합 30위
2023.11.9,176회,0.78%,종합 34위
2023.11.2,175회,0.83%,종합 31위
2023.10.26,174회,0.82%,종합 28위
2023.10.19,173회,0.85%,종합 28위
2023.10.12,172회,0.75%,종합 33위
2023.10.5,171회,1.55%,종합 18위
2023.9.28,170회,0.88%,종합 37위
