방영일,회차,시청률,장르별순위
2024.9.4,124회 개혁 군주 광종은 왜 폭군으로 돌변했나,0.78%,"종합 27위, 예능 5위"
2024.8.28,123회 고구려 우씨 왕후는 왜 남편의 동생을 유혹했나,1.03%,"종합 10위, 예능 5위"
2024.8.21,122회 조선은 왜 황제국 청나라와 전면전을 불사했나,0.90%,"종합 28위, 예능 6위"
2024.8.14,121회 도산 안창호는 어떻게 한국인들의 슈퍼맨이 됐나,0.73%,"종합 35위, 예능 7위"
2024.8.7,120회 [벌거벗은 조선 귀신사] 공포의 조선 5대 귀신 이야기,0.86%,"종합 23위, 예능 5위"
2024.7.31,119회 조선의 천재 허균은 왜 역적이 되어 죽었나,0.72%,"종합 31위, 예능 7위"
2024.7.24,118회 낙랑공주와 선화공주는 어떻게 나라의 운명을 바꿨나,0.54%,"종합 51위, 예능 13위"
2024.7.17,117회 80분 토론! 궁예는 진짜 미치광이 폭군이었나,0.81%,"종합 35위, 예능 7위"
2024.7.10,116회 80분 토론! 세조의 참모 신숙주는 정말 변절자였나,0.72%,"종합 41위, 예능 8위"
2024.7.3,115회 문정왕후의 오른팔 정난정은 왜 희대의 악녀가 되었나,0.58%,"종합 39위, 예능 8위"
2024.6.26,114회 영화 '고지전'의 실화! 국군은 어떻게 백마고지에 태극기를 꽂았나,0.85%,"종합 22위, 예능 6위"
2024.6.19,113회 선조의 장남 임해군은 왜 희대의 망나니가 되었나,0.83%,"종합 28위, 예능 7위"
2024.6.12,112회 숙종의 어머니 명성왕후는 왜 장희빈을 내쫓았나,0.94%,"종합 21위, 예능 6위"
2024.6.5,111회 연산군은 왜 내시 김처선의 혀를 잘랐나,0.80%,"종합 23위, 예능 6위"
2024.5.29,110회 조선의 명의 허준이 쓴 동의보감 속 비책은?,0.84%,"종합 22위, 예능 7위"
2024.5.22,109회 대한민국 서울은 어떻게 궁궐의 도시가 됐나 2편,0.86%,"종합 20위, 예능 5위"
2024.5.15,108회 대한민국 서울은 어떻게 궁궐의 도시가 됐나 1편,1.23%,"종합 6위, 예능 4위"
2024.5.8,107회 무신정변! 무신들은 어떻게 고려 왕을 농락했나,0.83%,"종합 19위, 예능 6위"
2024.5.1,106회 친모 영빈 이씨는 왜 사도세자를 죽여달라 했나,1.09%,"종합 14위, 예능 5위"
