방영일,회차,시청률,장르별순위
2024.9.5,16회 암과 만성질환들을 극복하고 체중 감량 성공!,0.37%,종합 47위
2024.8.25,15회 동안 피부와 외모로 바뀌며 제2의 삶을 살게 된 그녀들,0.27%,종합 67위
2024.8.18,"14회 기억을 지우는 무서운 질병, 치매",0.44%,종합 50위
2024.8.11,13회 간식들이 몸의 염증을 생성한다?,0.39%,종합 52위
2024.8.4,12회 머릿 속 시한폭탄 뇌동맥류 심하면 사망까지?,0.50%,종합 43위
2024.7.28,11회 수분 부족이 이러한 질병을 발생시킨다?,0.52%,종합 45위
2024.7.21,10회 혈관질환이 생기는 고혈압의 유병 기간이 20년?,0.69%,종합 36위
2024.7.14,9회 뇌의 독소를 잘 관리해서 경도인지장애를 극복한 사람들,0.43%,종합 52위
2024.7.7,8회 찬란한 제2의 삶을 펼친 그녀들의 이야기,0.32%,종합 54위
2024.6.30,7회 나잇살 다이어트에 성공 후 미모와 건강을 되찾은 사람들,0.49%,종합 48위
2024.6.23,6회 찬란한 제2의 삶을 펼친 그녀들의 이야기,0.55%,종합 45위
2024.6.16,5회 복통의 원인은!,0.44%,종합 51위
2024.6.9,4회 찬란한 제2의 삶을 펼친 그녀들의 이야기,0.50%,종합 49위
2024.6.2,3회 항산화에 성공하며 죽음의 기로에서 컴백한 사람들!!,0.27%,종합 61위
2024.5.26,2회 연쇄 질환에서 벗어나 혈당을 되찾은 그녀들의 이야기,0.66%,종합 38위
2024.5.19,1회 연쇄 질환에서 벗어나 항산화력을 올린 그녀들의 이야기,0.49%,종합 46위
