start_time,program_name,channel,genre,category,avg_view
19:40,스카우트,KBS1,정보,시사/교양,2.4
20:30,수지맞은우리,KBS1,일일드라마,드라마,13.6
21:00,뉴스9,KBS1,뉴스,뉴스,7.2
22:00,추적60,KBS1,탐사,시사/교양,3
22:50,뉴스라인W,KBS1,심층뉴스,뉴스,1.8
19:50,스캔들,KBS2,일일드라마,드라마,8.5
20:30,신상출시편스토랑,KBS2,음식,예능,3
22:00,더시즌즈,KBS2,음악,예능,1.7
19:40,뉴스데스크,MBC,뉴스,뉴스,5.6
21:50,백설공주에게죽음을,MBC,미스터리드라마,드라마,4.5
23:10,나혼자산다,MBC,리얼리티,예능,7
19:50,SBS8뉴스,SBS,뉴스,뉴스,4.3
21:00,궁금한이야기Y,SBS,탐사,시사/교양,4.7
22:00,굿파트너,SBS,법정드라마,드라마,12.6
19:50,사건반장,JTBC,탐사,시사/교양,3.2
22:00,Mynameis가브리엘,JTBC,리얼리티,예능,1.25
20:10,천기누설,MBN,건강,시사/교양,0.9
21:10,특종세상,MBN,탐사,시사/교양,2.6
21:40,나쁜기억지우개,MBN,로맨스,드라마,0.7
20:00,역전의가족,TV조선,건강,시사/교양,0.5
21:00,TVCHOSUN뉴스9,TV조선,뉴스,뉴스,2.8
22:00,미스터로또,TV조선,트로트,예능,3.8
20:10,요즘육아금쪽같은내새끼,채널A,가족,예능,1.6
21:40,남의나라살아요선넘은패밀리,채널A,가족,예능,1.3
20:40,서진이네2,tvN,리얼리티,예능,7.9
