,title,view_count,date
0,[예고] 엄마를 때리는 영재 아들?! 더 이상 피할 곳 없는 위기의 상황♨♨ | 요즘 육아 금쪽같은 내새끼 188 회,53569,2024-04-12T12:49:01Z
2,"[예고] 금지옥엽 늦둥이 금쪽이, 아빠를 향한 막말과 폭력이 일상?! | 요즘 육아 금쪽같은 내새끼 189 회",23093,2024-04-19T12:53:55Z
3,[예고] ※경악※ 점점 심해지는 적대심!? 훈육법마저 통하지 않는 위기의 금쪽이네 | 요즘 육아 금쪽같은 내새끼 190 회,12393,2024-04-26T13:28:04Z
4,[예고] 할머니가 때린다고?! 카메라 앞에서 메소드 연기하는 6세 금쪽이♨ | 요즘 육아 금쪽같은 내새끼 191 회,11147,2024-05-03T12:48:39Z
5,[예고] 천사 같던 첫째의 자폐 증상?! 알 수 없는 행동을 보이는 이유는? | 요즘 육아 금쪽같은 내새끼 192 회,49306,2024-05-10T12:49:54Z
7,[예고] 이혼한 부부가 한 침대에?! 알 수 없는 부부의 행동에 혼란 가득한 금쪽이 | 요즘 육아 금쪽같은 내새끼 193 회,13225,2024-05-17T14:33:17Z
8,[예고] 착한 아들의 돌변♨♨ 동물처럼 음식을 먹기 시작했다?! 금쪽이네 사연 | 요즘 육아 금쪽같은 내새끼 194 회,15447,2024-05-24T13:29:03Z
10,"[예고] 두 번의 사망선고를 이겨낸 금쪽이, 오박사 눈에 포착된 퇴행 현상?! | 요즘 육아 금쪽같은 내새끼 195 회",46667,2024-05-31T15:05:50Z
12,[예고] 도둑질을 멈추지 않는 금쪽이?! 엄마 생각보다 위급한 현재 상태♨♨ | 요즘 육아 금쪽같은 내새끼 196 회,31405,2024-06-07T12:54:08Z
13,[예고] ※한시가 시급하다!※ 180도 돌변한 엄마?!  두 번째 이야기 금쪽이네엔 무슨 일이? | 요즘 육아 금쪽같은 내새끼 197 회,128589,2024-06-21T06:43:43Z
14,"[예고] 모든 걸 무서워한다?! 심각한 낯가림에 고통받는 아이, 그 원인은?? | 요즘 육아 금쪽같은 내새끼 198 회",15326,2024-06-28T12:49:40Z
15,[예고] //경악// 서로에게 극단적인 말을 내뱉는다?! 적개심으로 가득찬 금쪽이네 | 요즘 육아 금쪽같은 내새끼 199 회,9922,2024-07-05T13:09:42Z
16,[예고] 엄마 없인 하루도 못 산다?! 화목해 보였던 오 남매의 실체 공개♨♨ | 요즘 육아 금쪽같은 내새끼 200 회,8091,2024-07-12T14:44:55Z
18,[예고] //눈물 폭발// 남자 인형을 극도로 거부한다!? 아빠가 세상을 떠난 뒤 변해버린 금쪽이  | 요즘 육아 금쪽같은 내새끼 201 회,23290,2024-07-19T13:08:01Z
19,"[예고] 육아 참견 아빠와 감시받는 엄마, 이혼 위기 국제 부부♨♨ | 요즘 육아 금쪽같은 내새끼 202 회",9410,2024-07-29T08:50:23Z
20,[예고] 30세 엄마와 5세 딸이 싸운다!? 전쟁 중인 금쪽이네 과연 무슨 일이? | 요즘 육아 금쪽같은 내새끼 203 회,15503,2024-08-09T12:48:56Z
21,[예고] 온몸을 가리고 다닌다?! 예비 중1 금쪽이가 엄마 뒤에 숨어사는 이유 | 요즘 육아 금쪽같은 내새끼 204 회,22824,2024-08-16T14:59:21Z
22,[예고] 금쪽이는 6학년 이하의 수준?! 솔루션 도중 나타난 모녀 갈등 | 요즘 육아 금쪽같은 내새끼 205 회,28838,2024-08-23T13:34:06Z
23,[예고] 오 박사마저 포기했다?! 엄마를 속이고 비웃는 지능형 금쪽이의 두 얼굴 | 요즘 육아 금쪽같은 내새끼 206 회,124632,2024-08-30T12:47:40Z
