방영일,회차,시청률,장르별순위
2024.8.29,147회,1.27%,"종합 21위, 예능 7위"
2024.8.22,146회,1.24%,"종합 23위, 예능 8위"
2024.8.15,145회,1.14%,"종합 28위, 예능 14위"
2024.8.8,144회,1.52%,"종합 20위, 예능 6위"
2024.8.1,143회,1.49%,"종합 19위, 예능 5위"
2024.7.25,142회,0.78%,"종합 34위, 예능 12위"
2024.7.18,141회,0.92%,"종합 32위, 예능 12위"
2024.7.11,140회,1.53%,"종합 22위, 예능 8위"
2024.7.4,139회,1.42%,"종합 24위, 예능 8위"
2024.6.27,138회,1.53%,"종합 21위, 예능 7위"
2024.6.20,137회,0.95%,"종합 30위, 예능 11위"
2024.6.13,136회,1.25%,"종합 24위, 예능 8위"
2024.6.6,135회,1.37%,"종합 15위, 예능 7위"
2024.5.30,134회,1.21%,"종합 23위, 예능 8위"
2024.5.23,133회,1.57%,"종합 20위, 예능 6위"
2024.5.16,132회,1.19%,"종합 25위, 예능 9위"
2024.5.9,131회,1.54%,"종합 17위, 예능 6위"
2024.5.2,130회,1.82%,"종합 15위, 예능 5위"
2024.4.25,129회,1.28%,"종합 21위, 예능 6위"
2024.4.18,128회,1.21%,"종합 24위, 예능 7위"
