2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연령별,시간대별,TV별,전체 (명),19:00,20:00,21:00,22:00,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전체,주중 ,TV수상기,5410,19,36.5,43.5,34.7,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10대,주중 ,TV수상기,382,2.5,7.5,6.8,13.6,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20대,주중 ,TV수상기,700,5.7,11.7,15.7,18.3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30대,주중 ,TV수상기,711,9.8,23.6,34.3,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40대,주중 ,TV수상기,970,13.1,34.3,47.2,43.3,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50대,주중 ,TV수상기,1028,18.5,41.7,56.9,47.9,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60대,주중 ,TV수상기,883,27.1,52.1,60.3,41.6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70세 이상,주중 ,TV수상기,735,48,64.6,54,25.4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
